linkedin_skill,domain,notes,confidence,version
adaptability,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
adaptable,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
adjust,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
agile,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
change management,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
change-management,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
changemanagement,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
embrace change,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
embrace-change,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
embracechange,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
flexibility,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
flexible,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
resilience,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
resilient,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
versatile,Adaptability,Lexicon v2 - refined from tag-only analysis,high,v2
coach,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
coaching,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
collaboration,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
collaborative,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
collaborative work,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
collaborative-work,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
collaborativework,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
cooperation,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
cross functional,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
cross-functional,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
delegate,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
direct,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
empower,Leadership,Lexicon v2 - refined from tag-only analysis,high,v2
