domain,category,job_link,job_title,company,job_family,text_snippet,relevant_skills,tag_present,text_present
Adaptability & Continuous Learning,both,https://www.linkedin.com/jobs/view/senior-systems-designer-at-intrepid-studios-inc-3787784316,Senior Systems Designer,"Intrepid Studios, Inc",Other,"Intrepid Studios is looking for a passionate and talented
Senior Systems Designer,
interested in creating brand new worlds with a brand new IP. Our Senior Systems Designer would live and breathe math, spreadsheets and charts. They would believe in data, logs and playtesting. They can break down a system into its component parts and build it back up blindfolded. They must work well with others, enjoy and seek out collaboration, and to receive, act on, and supply constructively critical feedback. ",,True,True
Adaptability & Continuous Learning,both,https://ca.linkedin.com/jobs/view/business-analyst-i-or-ii-opl-at-intact-3807200176,"Business Analyst I or II, OPL",Intact,Other,"Our employees are at the heart of what we do best: helping people, businesses and society prosper in good times and be resilient in bad times. When you join our team, you’re bringing this purpose to life alongside a passionate community of experts.
Feel empowered to learn and grow while being valued for who you are– here, diversity is a strength. You have our commitment to support you in reaching your goals with tools, opportunities, and flexibility. It’s our employee promise.
Our hybrid work mo",,True,True
Adaptability & Continuous Learning,both,https://uk.linkedin.com/jobs/view/tableau-alteryx-sales-planning-and-reporting-analyst-must-reside-in-colombia-mexico-philippines-uk-or-usa-at-jobs-for-humanity-3801883769,"Tableau & Alteryx Sales Planning and Reporting Analyst (Must reside in Colombia, Mexico, Philippines, UK or USA)",Jobs for Humanity,Other,"Company Description
Jobs for Humanity is partnering with TurnItIn to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. This position is open to candidates who reside in and have the legal right to work in the country where the job is loc",,True,True
Adaptability & Continuous Learning,both,https://www.linkedin.com/jobs/view/senior-software-engineer-back-end-at-clickjobs-io-3793440489,"Senior Software Engineer, Back End",ClickJobs.io,SWE,"77 West Wacker Dr (35012), United States of America, Chicago, IllinoisSenior Software Engineer, Back End
Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who love to solve real problems and meet real customer needs. We are seeking
Back End Software Engineers
who are passio",,True,True
Adaptability & Continuous Learning,both,https://www.linkedin.com/jobs/view/senior-software-engineer-back-end-golang-aws-at-jobs-for-humanity-3804058222,"Senior Software Engineer, Back End (Golang, AWS)",Jobs for Humanity,SWE,"Company Description
Jobs for Humanity is partnering with Capital One to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. This position is open to candidates who reside in and have the legal right to work in the country where the job is ",,True,True
Adaptability & Continuous Learning,both,https://www.linkedin.com/jobs/view/sr-net-developer-at-onebridge-3606432425,SR .NET DEVELOPER,Onebridge,SWE,"Job Details
Description
Required
Working technical knowledge of object-based programming languages, including C#, VB.NET, ASP.NET, or Python
SML, XSLT, Schema coding experience and translation abilities
Experience working with enterprise application Microsoft Office
Knowledge of Project Management practices
Web service development knowledge
Strong relational database experience including tuning, stored procedure development, and use of reporting services in a Microsoft environment
Hands on exper",,True,True
Adaptability & Continuous Learning,both,https://www.linkedin.com/jobs/view/senior-data-engineer-at-jobs-for-humanity-3804601260,Senior Data Engineer,Jobs for Humanity,Data Science,"Company Description
Jobs for Humanity is partnering with Capital One to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. This position is open to candidates who reside in and have the legal right to work in the country where the job is ",,True,True
Adaptability & Continuous Learning,both,https://ca.linkedin.com/jobs/view/e-learning-lead-course-developer-at-ach%C4%93v-3795172192,E-learning Lead Course Developer,Achēv,SWE,"Brief Description
About Achev:
At Achev, we believe that everyone deserves an equal opportunity to build a better life and a successful future. For more than 30 years, we have dedicated ourselves to helping diverse Canadians and newcomers achieve their full potential. Today, we are one of the largest providers of employment, newcomer, language, and youth services in the Greater Toronto Area. Our dedicated team of nearly 400 staff delivers a wide range of innovative, high-quality, and personalize",,True,True
Adaptability & Continuous Learning,both,https://www.linkedin.com/jobs/view/senior-lead-platform-engineer-iam-at-jobs-for-humanity-3789083949,Senior Lead Platform Engineer (IAM),Jobs for Humanity,Other,"Company Description
Jobs for Humanity is partnering with Capital One to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. This position is open to candidates who reside in and have the legal right to work in the country where the job is ",,True,True
Adaptability & Continuous Learning,both,https://www.linkedin.com/jobs/view/lead-platform-engineer-at-jobs-for-humanity-3804056289,Lead Platform Engineer,Jobs for Humanity,Other,"Company Description
Jobs for Humanity is partnering with Capital One to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or Hard of Hearing, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. This position is open to candidates who reside in and have the legal right to work in the country where the job is ",,True,True
